Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,brand,name,defaultimage,baseprice,shoetype,usagetype
air-jordan-1,Air Jordan 1,<p>Nike Air Jordan 1. Category: Basketball.</p>,Nike,basketball_shoe,"basketball_shoe, sport, nike",TRUE,Color,Red/Black,Size,US 10,NIKE-AIRJORDAN1-RED/BL-US10,500,shopify,100,deny,manual,3910000,4692000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Air Jordan 1,FALSE,Air Jordan 1 | Nike,Buy Air Jordan 1 by Nike. Type: basketball_shoe. Usage: sport.,active,Nike,Air Jordan 1,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,3910000,basketball_shoe,sport
ultra-boost-21,Ultra Boost 21,<p>Adidas Ultra Boost 21. Category: Running.</p>,Adidas,running_shoe,"running_shoe, sport, adidas",TRUE,Color,Black,Size,US 9.5,ADIDAS-ULTRABOOST-BLACK-US9.,500,shopify,100,deny,manual,4140000,4968000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Ultra Boost 21,FALSE,Ultra Boost 21 | Adidas,Buy Ultra Boost 21 by Adidas. Type: running_shoe. Usage: sport.,active,Adidas,Ultra Boost 21,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,4140000,running_shoe,sport
classic-leather,Classic Leather,<p>Reebok Classic Leather. Category: Casual.</p>,Reebok,sneaker,"sneaker, casual, reebok",TRUE,Color,White,Size,US 11,REEBOK-CLASSICLEA-WHITE-US11,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Classic Leather,FALSE,Classic Leather | Reebok,Buy Classic Leather by Reebok. Type: sneaker. Usage: casual.,active,Reebok,Classic Leather,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1725000,sneaker,casual
chuck-taylor,Chuck Taylor,<p>Converse Chuck Taylor. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Navy,Size,US 8,CONVERSE-CHUCKTAYLO-NAVY-US8,500,shopify,100,deny,manual,1265000,1518000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Chuck Taylor,FALSE,Chuck Taylor | Converse,Buy Chuck Taylor by Converse. Type: sneaker. Usage: casual.,active,Converse,Chuck Taylor,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1265000,sneaker,casual
future-rider,Future Rider,<p>Puma Future Rider. Category: Lifestyle.</p>,Puma,sneaker,"sneaker, casual, puma",TRUE,Color,Pink,Size,US 7.5,PUMA-FUTURERIDE-PINK-US7.,500,shopify,100,deny,manual,1840000,2208000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Future Rider,FALSE,Future Rider | Puma,Buy Future Rider by Puma. Type: sneaker. Usage: casual.,active,Puma,Future Rider,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1840000,sneaker,casual
old-skool,Old Skool,<p>Vans Old Skool. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,Black/White,Size,US 8.5,VANS-OLDSKOOL-BLACK/-US8.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Old Skool,FALSE,Old Skool | Vans,Buy Old Skool by Vans. Type: sneaker. Usage: casual.,active,Vans,Old Skool,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1495000,sneaker,casual
990v5,990v5,<p>New Balance 990v5. Category: Running.</p>,New Balance,running_shoe,"running_shoe, sport, new balance",TRUE,Color,Grey,Size,US 6.5,NEWBALAN-990V5-GREY-US6.,500,shopify,100,deny,manual,4025000,4830000,TRUE,TRUE,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=400,1,990v5,FALSE,990v5 | New Balance,Buy 990v5 by New Balance. Type: running_shoe. Usage: sport.,active,New Balance,990v5,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=400,4025000,running_shoe,sport
gel-kayano-28,Gel-Kayano 28,<p>Asics Gel-Kayano 28. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Blue,Size,US 10.5,ASICS-GEL-KAYANO-BLUE-US10,500,shopify,100,deny,manual,3680000,4416000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Gel-Kayano 28,FALSE,Gel-Kayano 28 | Asics,Buy Gel-Kayano 28 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Kayano 28,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3680000,running_shoe,sport
disruptor-ii,Disruptor II,<p>Fila Disruptor II. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,White,Size,US 9,FILA-DISRUPTORI-WHITE-US9,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Disruptor II,FALSE,Disruptor II | Fila,Buy Disruptor II by Fila. Type: sneaker. Usage: casual.,active,Fila,Disruptor II,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1495000,sneaker,casual
go-run-razor-3,Go Run Razor 3,<p>Skechers Go Run Razor 3. Category: Running.</p>,Skechers,running_shoe,"running_shoe, sport, skechers",TRUE,Color,Black,Size,US 9,SKECHERS-GORUNRAZOR-BLACK-US9,500,shopify,100,deny,manual,2530000,3036000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Go Run Razor 3,FALSE,Go Run Razor 3 | Skechers,Buy Go Run Razor 3 by Skechers. Type: running_shoe. Usage: sport.,active,Skechers,Go Run Razor 3,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,2530000,running_shoe,sport
